regime,tenor,epe,ene
Macro Tightening,2.5,195847.35363874934,-998240.1640008298
Macro Tightening,2.5833333333333335,194685.6671530361,-985582.9495341607
Macro Tightening,2.6666666666666665,193359.8175800276,-973432.5425600455
Macro Tightening,2.75,191387.41363539777,-959711.0300089219
Macro Tightening,2.8333333333333335,189127.3833739731,-944210.8542329465
Macro Tightening,2.9166666666666665,187614.6185857339,-926550.4159979478
Macro Tightening,3.0,186144.29279578186,-907727.4259277711
Macro Tightening,3.0833333333333335,183972.0405291541,-889539.3071140845
Macro Tightening,3.1666666666666665,180272.791326002,-867763.6100764978
Macro Tightening,3.25,176029.94261198465,-843484.2368947199
Macro Tightening,3.3333333333333335,171958.6910016237,-817809.2723370801
Macro Tightening,3.4166666666666665,167454.4377634135,-790434.2473147456
Macro Tightening,3.5,161831.39389336496,-762182.3956946981
Macro Tightening,3.5833333333333335,155908.24407598568,-731576.8417023945
Macro Tightening,3.6666666666666665,149567.78756393772,-699910.2065522904
Macro Tightening,3.75,143247.85599730382,-668054.0483139523
Macro Tightening,3.8333333333333335,137778.72980657622,-637667.6941347464
Macro Tightening,3.9166666666666665,132236.05889077997,-607580.0076394182
Macro Tightening,4.0,126752.54054190719,-574784.9979950207
Macro Tightening,4.083333333333333,120265.17603671314,-539948.2479179001
Macro Tightening,4.166666666666667,113226.57924228357,-503954.20260866615
Macro Tightening,4.25,105447.28741793861,-466007.9356501491
Macro Tightening,4.333333333333333,97067.58181515516,-426593.6493169594
Macro Tightening,4.416666666666667,87795.9671041485,-384250.05610197206
Macro Tightening,4.5,78629.25060659651,-341647.71435529727
Macro Tightening,4.583333333333333,68747.52423116897,-296201.94864483067
Macro Tightening,4.666666666666667,58804.28295692667,-251303.93641557972
Macro Tightening,4.75,48470.311038231244,-204650.50915901372
Macro Tightening,4.833333333333333,38260.28347759277,-156384.82101269436
Macro Tightening,4.916666666666667,27883.968505357734,-105798.34133998878
Macro Tightening,5.0,16037.511627591577,-53927.12586066617
